Nodos AristasExistentes Tiempo
50 200 35764
50 200 66592
50 200 35542
50 200 51930
50 200 36582
50 200 52593
50 200 35571
50 200 57249
50 200 36353
50 200 37068
50 200 35766
50 200 35350
50 200 36471
50 200 35760
50 200 22890
50 200 33607
50 200 33089
50 200 32817
50 200 37910
50 200 32981
50 200 32788
50 200 35935
50 200 65101
50 200 32742
50 200 33070
50 200 32625
50 200 33139
50 200 32959
50 200 32873
50 200 42317
50 200 32979
50 200 32692
50 200 105246
50 200 33013
50 200 35801
50 200 35652
50 200 35584
50 200 35569
50 200 35561
50 200 35998
50 200 35452
50 200 32691
50 200 32755
50 200 32728
50 200 32810
50 200 32560
50 250 36930
50 250 38600
50 250 36958
50 250 28210
50 250 37522
50 250 36623
50 250 37059
50 250 36522
50 250 36754
50 250 36482
50 250 36773
50 250 36504
50 250 36950
50 250 36697
50 250 36845
50 250 36489
50 250 36985
50 250 36662
50 250 36232
50 250 40254
50 250 36690
50 250 36489
50 250 36469
50 250 38007
50 250 36561
50 250 36606
50 250 36706
50 250 39282
50 250 39542
50 250 39746
50 250 39745
50 250 40079
50 250 39458
50 250 39666
50 250 40037
50 250 123449
50 250 40048
50 250 39670
50 250 39425
50 250 39649
50 250 76812
50 250 36971
50 250 36638
50 250 48276
50 250 36736
50 250 36514
50 250 36514
50 250 36621
50 250 36468
50 250 36295
50 250 36556
50 250 104320
50 250 36821
50 250 36735
50 250 36833
50 250 36622
50 250 36633
50 250 36397
50 250 36357
50 250 36158
50 250 36427
50 250 36513
50 250 36419
50 250 36632
50 250 36463
50 250 36378
50 250 36603
50 250 36381
50 250 103827
50 250 36390
50 250 36120
50 250 36230
50 250 37324
50 250 36441
50 250 36468
50 250 36504
50 250 36568
50 250 40770
50 250 39551
50 250 39309
50 250 42224
50 250 39643
50 250 11129
50 250 39925
50 250 36600
50 250 38601
50 250 36523
50 250 36222
50 250 36583
50 250 71554
50 250 36998
50 250 63350
50 250 36777
50 250 36873
50 250 36433
50 250 36732
50 250 39031
50 250 73369
50 250 18029
50 250 40148
50 300 43019
50 300 44075
50 300 43065
50 300 42654
50 300 42842
50 300 42883
50 300 42883
50 300 42794
50 300 42852
50 300 42764
50 300 74274
50 300 105911
50 300 39571
50 300 39446
50 300 39245
50 300 39520
50 300 44133
50 300 39498
50 300 43004
50 300 39514
50 300 49817
50 300 39261
50 300 39192
50 300 39491
50 300 39829
50 300 39557
50 300 2427
50 300 39766
50 300 39391
50 300 39139
50 300 39788
50 300 39999
50 300 39400
50 300 39409
50 300 39498
50 300 39252
50 300 39309
50 300 39182
50 300 39872
50 300 39175
50 300 39775
50 300 39268
50 300 106597
50 300 39399
50 300 40986
50 300 39229
50 300 39307
50 300 39203
50 300 39099
50 300 39196
50 300 39758
50 300 39163
50 300 39486
50 300 39116
