Nodos AristasExistentes Tiempo
250 0 286907
250 0 250334
250 0 277158
250 0 344001
250 0 236822
250 0 174099
250 0 284404
250 0 278559
250 0 348665
250 0 282273
250 0 69743
250 0 248403
250 0 156516
250 0 270091
250 0 269315
250 0 245472
250 0 577172
250 0 284774
250 0 1202575
250 0 275344
250 0 280554
250 0 281833
250 0 406991
250 0 283359
250 0 277350
250 0 303516
250 0 279761
250 0 265950
250 0 249433
250 0 247842
250 0 339855
250 0 462051
250 0 280323
250 0 276910
250 0 1294498
250 0 269787
250 0 269305
250 0 278222
250 0 278688
250 0 287636
250 0 275085
250 0 265138
250 0 249595
250 0 276928
250 0 172542
250 0 246868
250 0 240638
250 0 281238
250 0 249911
250 0 257771
250 0 270982
250 0 268559
250 0 147905
250 0 281858
250 0 283727
250 0 273815
250 0 306633
250 0 383533
250 0 339435
250 0 282385
250 0 329584
250 0 247751
250 0 244321
250 0 245486
250 0 291381
250 0 1075070
250 0 309869
250 0 269107
250 0 21022
250 0 270079
250 0 166925
250 0 270722
250 0 275314
250 0 306042
250 0 281102
250 0 265892
250 0 357005
250 0 269726
250 0 286834
250 0 276830
250 0 349714
250 0 282494
250 0 117524
250 0 278165
250 0 282537
250 0 282153
250 0 282147
250 0 284776
250 0 285363
250 0 281202
250 0 345635
250 0 364511
250 0 47485
250 0 249452
250 0 255395
250 0 1297376
250 0 346378
250 0 280341
250 0 271057
250 0 279033
250 250 99057
250 250 115929
250 250 85722
250 250 77508
250 250 107531
250 250 76795
250 250 76530
250 250 76973
250 250 77451
250 250 77325
250 250 114542
250 250 77267
250 250 76898
250 250 76391
250 250 78463
250 250 1181695
250 250 81988
250 250 76643
250 250 102
250 250 119523
250 250 84253
250 250 83485
250 250 102803
250 250 82631
250 250 83190
250 250 83167
250 250 81887
250 250 76798
250 250 76095
250 250 78210
250 250 76473
250 250 78109
250 250 76847
250 250 84236
250 250 91392
250 250 79935
250 250 78199
250 250 79084
250 250 113780
250 250 77174
250 250 23184
250 250 78897
250 250 77437
250 250 77523
250 250 118480
250 250 78774
250 250 95046
250 250 155541
250 250 76794
250 250 113327
250 250 76467
250 250 83845
250 250 86079
250 250 82693
250 250 990629
250 250 101819
250 250 84332
250 250 113914
250 250 88735
250 250 184184
250 250 89184
250 250 83729
250 250 83174
250 250 99698
250 250 82593
250 250 83542
250 250 83282
250 250 107057
250 250 85392
250 250 83520
250 250 83047
250 250 83016
250 250 24249
250 250 83395
250 250 83039
250 250 98838
250 250 82819
250 250 89354
250 250 82282
250 250 24150
250 250 83213
250 250 99311
250 250 83776
250 250 82856
250 250 82669
250 250 82854
250 250 159815
250 250 83351
250 250 82460
250 250 82363
250 250 99024
250 250 83639
250 250 83343
250 250 115522
250 250 83543
250 250 100790
250 250 83201
250 250 83503
250 250 23968
250 250 100196
250 500 99436
250 500 98802
250 500 98172
250 500 98369
250 500 99367
250 500 98719
250 500 98905
250 500 101603
250 500 114894
250 500 99356
250 500 99589
250 500 98101
250 500 98326
250 500 98496
250 500 115679
250 500 171098
250 500 114026
250 500 98633
250 500 114026
250 500 99501
250 500 98600
250 500 98566
250 500 114410
250 500 97681
250 500 100870
250 500 98451
250 500 99813
250 500 101769
250 500 99395
250 500 99001
250 500 98901
250 500 98904
250 500 98456
250 500 98175
250 500 98150
250 500 90884
250 500 178882
250 500 91093
250 500 81820
250 500 90689
250 500 91368
250 500 90380
250 500 103315
250 500 101422
250 500 90103
250 500 119242
250 500 90729
250 500 94500
250 500 91214
250 500 90508
250 500 116174
250 500 90564
250 500 90401
250 500 91538
250 500 126058
250 500 99691
250 500 138610
250 500 39018
250 500 139228
250 500 119836
250 500 98571
250 500 121002
250 500 101637
250 500 119564
250 500 105523
250 500 937583
250 500 198663
250 500 99997
250 500 117849
250 500 98924
250 500 118291
250 500 99540
250 500 143030
250 500 274096
250 500 104587
250 500 137805
250 500 203463
250 500 109216
250 500 24048
250 500 103188
250 500 105309
250 500 179140
250 500 116616
250 500 98477
250 500 98459
250 500 99879
250 500 101077
250 500 98379
250 500 98290
250 500 98383
250 500 114835
250 500 119610
250 500 103940
250 500 99522
250 500 98584
250 500 98092
250 500 98316
250 500 99350
250 500 98685
250 500 97715
250 750 139229
250 750 231375
250 750 115121
250 750 113685
250 750 114466
250 750 115306
250 750 115345
250 750 131132
250 750 113932
250 750 109341
250 750 106625
250 750 105271
250 750 105526
250 750 104324
250 750 104915
250 750 206709
250 750 106097
250 750 104991
250 750 113416
250 750 113642
250 750 114989
250 750 114332
250 750 104777
250 750 104610
250 750 106331
250 750 113829
250 750 113444
250 750 130649
250 750 103451
250 750 113279
250 750 147351
250 750 115409
250 750 113436
250 750 127621
250 750 120522
250 750 126141
250 750 104502
250 750 105635
250 750 140854
250 750 104848
250 750 104508
250 750 139044
250 750 128836
250 750 104484
250 750 104630
250 750 139057
250 750 105073
250 750 105892
250 750 142580
250 750 105541
250 750 105006
250 750 51573
250 750 141278
250 750 113587
250 750 104621
250 750 134167
250 750 173977
250 750 105280
250 750 104499
250 750 105129
250 750 105089
250 750 105251
250 750 136682
250 750 104854
250 750 104578
250 750 108319
250 750 141712
250 750 104662
250 750 106088
250 750 139078
250 750 105816
250 750 105889
250 750 106453
250 750 114165
250 750 114364
250 750 113783
250 750 131084
250 750 114160
250 750 106528
250 750 124859
250 750 134060
250 750 105858
250 750 104859
250 750 198731
250 750 131232
250 750 105099
250 750 105011
250 750 140122
250 750 106297
250 750 114296
250 750 116185
250 750 105193
250 750 105785
250 750 136629
250 750 113916
250 750 223779
250 750 159079
250 750 119000
250 750 114925
250 750 137661
250 1000 175913
250 1000 232984
250 1000 129189
250 1000 129367
250 1000 128475
250 1000 129128
250 1000 134413
250 1000 130023
250 1000 134087
250 1000 130572
250 1000 266110
250 1000 131723
250 1000 179306
250 1000 130297
250 1000 151517
250 1000 147388
250 1000 129406
250 1000 132115
250 1000 129773
250 1000 130314
250 1000 130126
250 1000 130462
250 1000 129313
250 1000 132623
250 1000 148280
250 1000 144080
250 1000 156898
250 1000 129958
250 1000 130157
250 1000 128480
250 1000 130775
250 1000 129124
250 1000 80247
250 1000 130810
250 1000 129825
250 1000 130309
250 1000 290388
250 1000 26150
250 1000 130304
250 1000 129895
250 1000 130021
250 1000 129957
250 1000 129050
250 1000 208668
250 1000 182870
250 1000 216513
250 1000 192012
250 1000 209524
250 1000 184130
250 1000 189124
250 1000 425229
250 1000 170038
250 1000 207333
250 1000 1359
250 1000 133958
250 1000 132383
250 1000 131634
250 1000 129919
250 1000 192196
250 1000 171552
250 1000 131464
250 1000 288032
250 1000 130800
250 1000 131372
250 1000 129668
250 1000 180443
250 1000 149288
250 1000 148152
250 1000 130931
250 1000 153600
250 1000 150869
250 1000 154494
250 1000 130211
250 1000 223055
250 1000 133012
250 1000 155930
250 1000 132760
250 1000 129964
250 1000 95274
250 1000 130983
250 1000 123444
250 1000 130522
250 1000 130127
250 1000 129972
250 1000 128851
250 1000 168121
250 1000 209388
250 1000 186860
250 1000 238711
250 1000 134541
250 1000 93780
250 1000 131832
250 1000 130412
250 1000 129735
250 1000 158201
250 1000 151271
250 1000 167739
250 1000 253619
250 1000 132192
250 1000 130371
250 1250 151319
250 1250 172658
250 1250 171354
250 1250 150129
250 1250 152750
250 1250 152243
250 1250 177338
250 1250 176612
250 1250 153092
250 1250 168644
250 1250 167888
250 1250 150132
250 1250 150247
250 1250 150869
250 1250 167740
250 1250 150479
250 1250 151013
250 1250 215074
250 1250 152297
250 1250 221144
250 1250 199651
250 1250 57807
250 1250 150853
250 1250 148941
250 1250 170733
250 1250 249847
250 1250 210674
250 1250 225906
250 1250 173784
250 1250 182057
250 1250 168558
250 1250 159650
250 1250 165892
250 1250 151137
250 1250 152789
250 1250 151069
250 1250 165738
250 1250 171568
250 1250 122758
250 1250 155585
250 1250 179815
250 1250 151826
250 1250 151291
250 1250 173535
250 1250 169878
250 1250 151580
250 1250 169513
250 1250 188984
250 1250 187972
250 1250 151393
250 1250 152114
250 1250 149543
250 1250 151032
250 1250 195791
250 1250 251112
250 1250 158898
250 1250 150097
250 1250 150583
250 1250 156958
250 1250 188887
250 1250 150903
250 1250 234128
250 1250 153459
250 1250 151912
250 1250 184118
250 1250 252391
250 1250 152767
250 1250 150283
250 1250 167650
250 1250 153465
250 1250 199668
250 1250 194270
250 1250 210867
250 1250 153151
250 1250 176328
250 1250 150528
250 1250 150322
250 1250 149923
250 1250 235902
250 1250 167958
250 1250 188148
250 1250 234253
250 1250 216177
250 1250 185783
250 1250 152973
250 1250 169131
250 1250 169058
250 1250 1126205
250 1250 150275
250 1250 150268
250 1250 242999
250 1250 153349
250 1250 193799
250 1250 158113
250 1250 184015
250 1250 170902
250 1250 160531
250 1250 151495
250 1250 149643
250 1250 150042
250 1500 132893
250 1500 214532
250 1500 195028
250 1500 165783
250 1500 185254
250 1500 165793
250 1500 164640
250 1500 165332
250 1500 172424
250 1500 186432
250 1500 167755
250 1500 184091
250 1500 166729
250 1500 106670
250 1500 165545
250 1500 166706
250 1500 184314
250 1500 166837
250 1500 165244
250 1500 245397
250 1500 243172
250 1500 186634
250 1500 166241
250 1500 165951
250 1500 187061
250 1500 165403
250 1500 165677
250 1500 161259
250 1500 197484
250 1500 166030
250 1500 189398
250 1500 164965
250 1500 169458
250 1500 186395
250 1500 165544
250 1500 165743
250 1500 166453
250 1500 167879
250 1500 186731
250 1500 166255
250 1500 184181
250 1500 170875
250 1500 166106
250 1500 186813
250 1500 166010
250 1500 165221
250 1500 251977
250 1500 166803
250 1500 165595
250 1500 183154
250 1500 166604
250 1500 165430
250 1500 224218
250 1500 165058
250 1500 231265
250 1500 262895
250 1500 166444
250 1500 165509
250 1500 183068
250 1500 166057
250 1500 166406
250 1500 184482
250 1500 209295
250 1500 242946
250 1500 199817
250 1500 185190
250 1500 165186
250 1500 164994
250 1500 168393
250 1500 165918
250 1500 165235
250 1500 100341
250 1500 199222
250 1500 167864
250 1500 165775
250 1500 271408
250 1500 184916
250 1500 294830
250 1500 166885
250 1500 183047
250 1500 165914
250 1500 172049
250 1500 166996
250 1500 165411
250 1500 259791
250 1500 166486
250 1500 165230
250 1500 275813
250 1500 166056
250 1500 165668
250 1500 189530
250 1500 167171
250 1500 186506
250 1500 165376
250 1500 242293
250 1500 183806
250 1500 166569
250 1500 212481
250 1500 165289
250 1500 201367
250 1750 182455
250 1750 253382
250 1750 298256
250 1750 19594
250 1750 200006
250 1750 240853
250 1750 202391
250 1750 181024
250 1750 161920
250 1750 182379
250 1750 972393
250 1750 202745
250 1750 213819
250 1750 182096
250 1750 198781
250 1750 181493
250 1750 265109
250 1750 201368
250 1750 181051
250 1750 203874
250 1750 180710
250 1750 261528
250 1750 284753
250 1750 280552
250 1750 269374
250 1750 280320
250 1750 286061
250 1750 286021
250 1750 224903
250 1750 370419
250 1750 270186
250 1750 282008
250 1750 290429
250 1750 386429
250 1750 262346
250 1750 271854
250 1750 274776
250 1750 690980
250 1750 414560
250 1750 262647
250 1750 263407
250 1750 268207
250 1750 264766
250 1750 358417
250 1750 278692
250 1750 219224
250 1750 182035
250 1750 271968
250 1750 182241
250 1750 200295
250 1750 200948
250 1750 184431
250 1750 203934
250 1750 180868
250 1750 200077
250 1750 182243
250 1750 156550
250 1750 204445
250 1750 355023
250 1750 240084
250 1750 368540
250 1750 268339
250 1750 188026
250 1750 200520
250 1750 181542
250 1750 197162
250 1750 300442
250 1750 266165
250 1750 282689
250 1750 281341
250 1750 264398
250 1750 267164
250 1750 299215
250 1750 291733
250 1750 248780
250 1750 254699
250 1750 266348
250 1750 386766
250 1750 286513
250 1750 341481
250 1750 268881
250 1750 518846
250 1750 274260
250 1750 288368
250 1750 298294
250 1750 266390
250 1750 262822
250 1750 274534
250 1750 286946
250 1750 187088
250 1750 201738
250 1750 181539
250 1750 198763
250 1750 180255
250 1750 179985
250 1750 182581
250 1750 196953
250 1750 184538
250 1750 235875
250 1750 276663
250 2000 307923
250 2000 294535
250 2000 324127
250 2000 319963
250 2000 294745
250 2000 308579
250 2000 288123
250 2000 382386
250 2000 199483
250 2000 218895
250 2000 196755
250 2000 354890
250 2000 201282
250 2000 284173
250 2000 213310
250 2000 226783
250 2000 200066
250 2000 197754
250 2000 400663
250 2000 199777
250 2000 197924
250 2000 272850
250 2000 205783
250 2000 178413
250 2000 310319
250 2000 292149
250 2000 304230
250 2000 264530
250 2000 304828
250 2000 264446
250 2000 265151
250 2000 214064
250 2000 199278
250 2000 217318
250 2000 196610
250 2000 213487
250 2000 195178
250 2000 198708
250 2000 196819
250 2000 111437
250 2000 288192
250 2000 211043
250 2000 192329
250 2000 220962
250 2000 195684
250 2000 193071
250 2000 194187
250 2000 246442
250 2000 213328
250 2000 216805
250 2000 200279
250 2000 218237
250 2000 199979
250 2000 219629
250 2000 272398
250 2000 219229
250 2000 199583
250 2000 222386
250 2000 200477
250 2000 225599
250 2000 235902
250 2000 217784
250 2000 196743
250 2000 198373
250 2000 212942
250 2000 196311
